Session,Character,Success Rate (%)
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7bfa33e2,57.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f5cd89f8,18.025000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1e21e75e,5.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d30e8fe2,9.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ce020e04,46.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9412cd09,21.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,cc36308c,16.025000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9d1c5af5,14.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,097c6805,60.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4e8ca3a7,11.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3ff97e73,44.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,496c5ed3,11.024999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,be89f470,114.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f5232c53,51.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,03591282,26.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d6a3e852,19.025000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,0efb740c,49.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ae87e3e9,62.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6cc697eb,62.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d8044aab,16.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b87aa871,118.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c0ca6787,86.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c0ffcb19,24.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,712694e4,17.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7800c0db,99.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,415c3dc5,37.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ad7164ec,12.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ec9c8309,30.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a24df9dc,29.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4c51b95c,29.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2b837e46,17.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1ae5de86,13.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,97d63372,10.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,50f8671b,13.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e0f22412,11.024999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,45e64dcc,8.424999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,bea71ffe,24.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,86967a31,22.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2e0a1187,20.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8075501a,15.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9c567ae0,68.825
